nm, Ga, In
158.363, 13.8117, 86.1883
158.886, 0.519492, 99.4805
159.409, 0, 100
159.931, 7.81734, 92.1827
160.454, 25.008, 74.992
160.977, 0, 100
161.499, 13.1287, 86.8713
162.022, 4.09715, 95.9029
162.545, 17.8957, 82.1043
163.067, 21.1361, 78.8639
163.59, 29.7183, 70.2817
164.113, 17.7918, 82.2082
164.635, 9.72875, 90.2713
165.158, 22.7739, 77.2261
165.681, 8.68603, 91.314
166.203, 19.2037, 80.7963
166.726, 5.95497, 94.045
167.248, 9.91936, 90.0806
167.771, 9.42003, 90.58
168.294, 9.16104, 90.839
168.816, 8.72444, 91.2756
169.339, 13.1473, 86.8527
169.862, 14.5991, 85.4009
170.384, 31.6511, 68.3489
170.907, 0, 100
171.43, 10.4928, 89.5072
171.952, 13.5172, 86.4828
172.475, 15.0724, 84.9276
172.998, 5.15973, 94.8403
173.52, 5.67839, 94.3216
174.043, 31.5334, 68.4666
174.566, 24.964, 75.036
175.088, 0, 100
175.611, 12.7844, 87.2156
176.134, 0, 100
176.656, 1.2074, 98.7926
177.179, 19.7349, 80.2651
177.701, 22.5063, 77.4937
178.224, 21.492, 78.508
178.747, 10.9497, 89.0503
179.269, 23.8453, 76.1547
179.792, 12.898, 87.102
180.315, 4.66769, 95.3323
180.837, 20.1993, 79.8007
181.36, 23.5243, 76.4757
181.883, 29.0786, 70.9214
182.405, 15.8629, 84.1371
182.928, 23.7582, 76.2418
183.451, 6.19568, 93.8043
183.973, 3.15315, 96.8469
184.496, 23.7844, 76.2156
185.019, 26.0528, 73.9472
185.541, 24.5888, 75.4112
186.064, 9.95832, 90.0417
186.587, 39.8974, 60.1026
187.109, 26.8752, 73.1248
187.632, 28.5415, 71.4585
188.155, 57.3834, 42.6166
188.677, 57.8242, 42.1758
189.2, 65.8947, 34.1053
189.722, 26.5401, 73.4599
190.245, 42.0328, 57.9672
190.768, 59.9266, 40.0734
191.29, 58.9859, 41.0141
191.813, 63.7687, 36.2313
192.336, 43.3777, 56.6223
192.858, 51.4927, 48.5073
193.381, 60.0809, 39.9191
193.904, 67.8127, 32.1873
194.426, 62.5913, 37.4087
194.949, 63.4796, 36.5204
195.472, 53.5454, 46.4546
195.994, 50.8678, 49.1322
196.517, 63.7895, 36.2105
197.04, 56.1143, 43.8857
197.562, 52.1455, 47.8545
198.085, 63.8118, 36.1882
198.608, 62.2793, 37.7207
199.13, 53.6051, 46.3949
199.653, 55.2932, 44.7068
200.176, 57.2494, 42.7506
200.698, 46.9759, 53.0241
201.221, 45.4144, 54.5856
201.743, 48.5044, 51.4956
202.266, 49.3618, 50.6382
202.789, 55.9375, 44.0625
203.311, 33.9664, 66.0336
203.834, 29.1553, 70.8447
204.357, 22.2267, 77.7733
204.879, 45.9807, 54.0193
205.402, 30.4922, 69.5078
205.925, 30.4953, 69.5047
206.447, 40.6805, 59.3195
206.97, 17.9446, 82.0554
207.493, 27.5405, 72.4595
208.015, 13.1129, 86.8871
208.538, 5.32357, 94.6764
209.061, 0.798544, 99.2015
209.583, 16.4384, 83.5616
210.106, 36.7931, 63.2069
210.629, 33.405, 66.595
211.151, 25.8039, 74.1962
211.674, 9.7378, 90.2622
212.196, 9.08832, 90.9117
212.719, 40.2331, 59.7669
213.242, 20.5958, 79.4042
213.764, 24.5473, 75.4527
