nm, P, As
188.956, 89.7885, 10.2115
189.461, 85.2858, 14.7142
189.966, 86.4796, 13.5204
190.472, 87.4663, 12.5337
190.977, 88.9896, 11.0104
191.482, 90.0166, 9.9834
191.987, 83.0148, 16.9852
192.493, 91.8561, 8.1439
192.998, 82.0871, 17.9129
193.503, 88.0148, 11.9852
194.008, 82.7183, 17.2817
194.513, 78.197, 21.803
195.019, 72.6706, 27.3294
195.524, 89.9282, 10.0718
196.029, 84.4253, 15.5747
196.534, 82.4972, 17.5028
197.04, 76.4725, 23.5275
197.545, 80.0728, 19.9272
198.05, 93.6421, 6.35786
198.555, 87.3045, 12.6955
199.061, 87.6529, 12.3471
199.566, 85.6844, 14.3156
200.071, 90.2853, 9.71471
200.576, 87.8931, 12.1069
201.081, 90.0241, 9.97586
201.587, 88.4336, 11.5664
202.092, 91.255, 8.745
202.597, 92.0912, 7.90882
203.102, 87.1421, 12.8579
203.608, 84.8922, 15.1078
204.113, 94.5344, 5.46557
204.618, 82.9688, 17.0312
205.123, 74.4271, 25.5729
205.628, 87.0353, 12.9647
206.134, 87.7303, 12.2697
206.639, 84.2067, 15.7933
207.144, 85.1414, 14.8586
207.649, 81.8629, 18.1371
208.155, 93.7017, 6.29829
208.66, 90.3116, 9.68837
209.165, 86.7257, 13.2743
209.67, 84.0211, 15.9789
210.176, 81.3225, 18.6775
210.681, 89.5768, 10.4232
211.186, 81.5661, 18.4339
211.691, 87.5503, 12.4497
212.196, 86.3937, 13.6063
212.702, 83.4442, 16.5558
213.207, 93.8384, 6.1616
213.712, 82.5158, 17.4842
214.217, 79.3457, 20.6543
214.723, 92.8221, 7.17795
215.228, 88.8811, 11.1189
215.733, 81.6649, 18.3351
216.238, 88.8388, 11.1612
216.744, 80.5393, 19.4607
217.249, 78.5369, 21.4631
217.754, 95.2072, 4.79277
218.259, 85.589, 14.411
218.764, 84.3372, 15.6628
219.27, 81.2001, 18.7999
219.775, 84.7448, 15.2552
220.28, 93.2635, 6.73651
220.785, 86.9126, 13.0874
221.291, 84.0339, 15.9661
221.796, 87.4401, 12.5599
222.301, 85.6135, 14.3865
222.806, 91.6132, 8.38683
223.312, 85.9631, 14.0369
223.817, 85.8684, 14.1316
224.322, 74.698, 25.302
224.827, 86.7817, 13.2183
225.332, 74.8618, 25.1382
225.838, 89.3004, 10.6996
226.343, 77.1541, 22.8459
226.848, 85.8902, 14.1098
227.353, 94.5267, 5.47331
227.859, 70.5828, 29.4172
228.364, 79.2619, 20.7381
228.869, 81.0197, 18.9803
229.374, 90.8387, 9.16129
229.88, 81.8754, 18.1246
230.385, 94.0162, 5.98379
230.89, 87.9044, 12.0956
231.395, 80.4409, 19.5591
231.9, 87.1331, 12.8669
232.406, 78.9462, 21.0538
232.911, 85.4973, 14.5027
233.416, 83.2929, 16.7071
233.921, 83.5243, 16.4757
234.427, 80.7602, 19.2398
234.932, 85.348, 14.652
235.437, 83.7088, 16.2912
235.942, 92.2585, 7.74155
236.448, 83.5623, 16.4377
236.953, 84.8768, 15.1232
237.458, 82.78, 17.22
237.963, 88.3368, 11.6632
238.468, 88.1901, 11.8099
238.974, 87.4092, 12.5908
239.479, 90.9053, 9.09473
239.984, 81.8743, 18.1257
240.489, 83.5479, 16.4521
240.995, 64.8466, 35.1534
241.5, 83.9939, 16.0061
242.005, 71.8854, 28.1146
242.51, 79.0077, 20.9923
243.015, 85.3478, 14.6522
243.521, 77.6508, 22.3492
244.026, 84.1935, 15.8065
244.531, 80.1537, 19.8463
245.036, 88.6256, 11.3744
245.542, 79.7918, 20.2082
246.047, 81.9961, 18.0039
246.552, 70.6183, 29.3817
247.057, 88.1451, 11.8549
247.563, 73.2851, 26.7149
248.068, 67.4998, 32.5002
248.573, 76.0079, 23.9921
249.078, 70.0116, 29.9884
249.583, 55.788, 44.212
250.089, 54.4899, 45.5101
250.594, 46.2344, 53.7656
251.099, 30.2242, 69.7758
251.604, 21.7936, 78.2064
252.11, 19.7717, 80.2283
252.615, 16.4823, 83.5177
253.12, 13.6069, 86.3931
253.625, 22.7585, 77.2415
254.131, 14.3192, 85.6808
254.636, 15.1569, 84.8431
255.141, 11.1541, 88.8459
255.646, 15.5859, 84.4141
256.151, 8.3814, 91.6186
256.657, 22.3633, 77.6367
257.162, 21.7485, 78.2515
257.667, 42.0442, 57.9558
258.172, 54.1245, 45.8755
258.678, 58.56, 41.44
259.183, 63.762, 36.238
259.688, 61.7976, 38.2024
260.193, 70.3534, 29.6466
260.699, 67.6194, 32.3806
261.204, 58.8902, 41.1098
261.709, 71.5955, 28.4045
262.214, 65.6193, 34.3807
262.719, 66.0465, 33.9535
263.225, 81.8144, 18.1856
263.73, 65.6005, 34.3995
264.235, 79.2324, 20.7676
264.74, 82.3661, 17.6339
265.246, 67.6131, 32.3869
265.751, 78.536, 21.464
266.256, 73.075, 26.925
266.761, 78.543, 21.457
267.267, 72.1733, 27.8267
267.772, 76.1636, 23.8364
268.277, 80.026, 19.974
268.782, 94.4915, 5.50851
269.287, 60.3113, 39.6887
269.793, 73.6188, 26.3812
270.298, 81.1088, 18.8912
270.803, 74.286, 25.714
271.308, 82.2462, 17.7538
271.814, 79.2164, 20.7836
272.319, 72.26, 27.74
272.824, 75.7219, 24.2781
273.329, 83.0317, 16.9683
273.835, 77.0917, 22.9083
274.34, 71.9314, 28.0686
274.845, 83.5844, 16.4156
275.35, 85.6053, 14.3947
275.855, 79.0058, 20.9942
276.361, 77.0474, 22.9526
276.866, 83.5872, 16.4128
