Wavelength,Intensity
1374.879657,98
1375.20429,89
1375.528921,102
1375.853548,107
1376.178171,96
1376.502792,114
1376.827409,102
1377.152023,88
1377.476634,96
1377.801242,106
1378.125846,93
1378.450447,106
1378.775045,98
1379.09964,80
1379.424231,101
1379.748819,115
1380.073404,93
1380.397985,96
1380.722563,70
1381.047138,94
1381.37171,104
1381.696278,99
1382.020843,110
1382.345405,71
1382.669964,87
1382.994519,76
1383.319071,96
1383.643619,88
1383.968165,95
1384.292707,119
1384.617246,113
1384.941781,104
1385.266313,93
1385.590842,111
1385.915367,98
1386.23989,107
1386.564408,118
1386.888924,114
1387.213436,119
1387.537945,117
1387.862451,109
1388.186953,94
1388.511452,101
1388.835947,119
1389.16044,118
1389.484928,129
1389.809414,118
1390.133896,119
1390.458375,123
1390.78285,125
1391.107323,121
1391.431791,119
1391.756257,117
1392.080719,112
1392.405178,117
1392.729633,110
1393.054085,123
1393.378533,115
1393.702979,130
1394.02742,128
1394.351859,137
1394.676294,119
1395.000726,98
1395.325154,113
1395.649579,116
1395.974001,110
1396.298419,114
1396.622833,98
1396.947245,122
1397.271653,144
1397.596057,154
1397.920458,143
1398.244856,148
1398.56925,145
1398.893641,145
1399.218029,126
1399.542413,123
1399.866794,127
1400.191171,133
1400.515545,114
1400.839915,112
1401.164282,147
1401.488645,135
1401.813005,120
1402.137362,147
1402.461715,161
1402.86065,138
1403.110411,147
1403.434754,148
1403.759094,143
1404.08343,132
1404.407762,145
1404.732091,138
1405.056417,114
1405.380739,130
1405.705058,152
1406.029373,155
1406.353684,155
1406.677993,153
1407.002297,143
1407.326599,137
1407.650897,136
1407.975191,159
1408.299482,151
1408.623769,157
1408.948053,139
1409.272333,136
1409.59661,135
1409.920884,137
1410.245153,154
1410.56942,167
1410.893683,172
1411.217942,171
1411.542198,159
1411.86645,174
1412.190699,171
1412.514944,159
1412.839186,165
1413.163424,169
1413.487659,165
1413.81189,152
1414.136118,152
1414.460342,140
1414.784563,171
1415.10878,154
1415.432993,163
1415.757203,172
1416.08141,172
1416.405613,186
1416.729812,168
1417.054008,191
1417.3782,168
1417.702389,168
1418.026574,177
1418.350756,187
1418.674934,180
1418.999108,166
1419.323279,176
1419.647446,172
1419.97161,183
1420.29577,177
1420.619927,191
1420.94408,200
1421.268229,178
1421.592375,197
1421.916517,184
1422.240656,193
1422.564791,188
1422.888922,180
1423.21305,178
1423.537174,174
1423.861295,166
1424.185412,188
1424.509525,177
1424.833635,192
1425.157741,200
1425.481844,195
1425.805943,189
1426.130038,192
1426.45413,186
1426.778218,193
1427.102302,187
1427.426383,177
1427.75046,192
1428.074534,182
1428.398604,181
