wavelength;intensity
144654063291961.00;669
144686449126992.00;666
14471883458369.00;672
144751219661807.00;677
144783604361094.00;672
144815988681303.00;675
144848372622187.00;673
144880756183498.00;681
144913139364987.00;696
144945522166408.00;709
144977904587511.00;692
145010286628049.00;685
145042668287774.00;670
145075049566439.00;679
145107430463795.00;668
145139810979594.00;706
14517219111359.00;704
145204570865533.00;725
145236950235176.00;729
145269329222271.00;728
14530170782657.00;726
145334086047826.00;738
145366463885791.00;746
145398841340217.00;750
145431218410855.00;756
145463595097459.00;754
145495971399781.00;767
145528347317572.00;756
145560722850585.00;760
145593097998572.00;787
145625472761286.00;770
145657847138479.00;786
145690221129902.00;775
145722594735309.00;791
145754967954452.00;800
145787340787082.00;808
145819713232952.00;815
145852085291815.00;811
145884456963422.00;811
145916828247527.00;819
14594919914388.00;811
145981569652236.00;822
146013939772345.00;818
146046309503961.00;793
146078678846836.00;830
146111047800722.00;822
146143416365371.00;838
146175784540536.00;846
146208152325969.00;846
146240519721423.00;865
14627288672665.00;854
146305253341402.00;841
146337619565432.00;838
146369985398493.00;866
146402350840336.00;877
146434715890714.00;875
14646708054938.00;865
146499444816086.00;861
146531808690584.00;851
146564172172627.00;859
146596535261968.00;863
146628897958359.00;874
146661260261552.00;865
1466936221713.00;890
146725983687355.00;881
146758344809471.00;895
146790705537399.00;887
146823065870892.00;914
146855425809702.00;922
146887785353583.00;908
146920144502286.00;897
146952503255565.00;869
146984861613171.00;891
147017219574858.00;893
147049577140377.00;894
147081934309482.00;875
147114291081926.00;893
14714664745746.00;910
147179003435837.00;928
147211359016811.00;902
147243714200133.00;901
147276068985557.00;915
147308423372834.00;938
147340777361718.00;943
147373130951962.00;934
147405484143317.00;931
147437836935537.00;932
147470189328375.00;935
147502541321582.00;939
147534892914912.00;966
147567244108118.00;931
147599594900952.00;944
147631945293167.00;950
147664295284515.00;946
14769664487475.00;952
147728994063624.00;929
14776134285089.00;931
147793691236301.00;918
147826039219609.00;923
147858386800567.00;947
147890733978929.00;965
147923080754446.00;943
147955427126873.00;946
14798777309596.00;952
148020118661462.00;942
148052463823132.00;941
148084808580721.00;950
148117152933983.00;942
148149496882671.00;950
148181840426538.00;942
148214183565336.00;953
148246526298819.00;941
148278868626739.00;944
148311210548849.00;954
148343552064902.00;966
148375893174651.00;959
14840823387785.00;942
14844057417425.00;948
148472914063605.00;951
148505253545668.00;964
148537592620191.00;954
148569931286929.00;942
148602269545633.00;943
148634607396057.00;949
148666944837954.00;923
148699281871076.00;911
148731618495177.00;945
14876395471001.00;936
148796290515328.00;950
148828625910884.00;923
14886096089643.00;930
14889329547172.00;955
148925629636508.00;925
148957963390545.00;937
148990296733586.00;926
149022629665383.00;929
149054962185689.00;934
149087294294258.00;940
149119625990843.00;916
149151957275196.00;932
149184288147071.00;915
149216618606221.00;914
149248948652399.00;919
149281278285358.00;922
149313607504852.00;905
149345936310634.00;901
149378264702456.00;901
149410592680072.00;907
149442920243236.00;905
1494752473917.00;902
149507574125218.00;894
149539900443542.00;881
149572226346427.00;888
149604551833625.00;890
14963687690489.00;881
149669201559974.00;891
149701525798632.00;880
149733849620616.00;881
14976617302568.00;881
149798496013577.00;886
14983081858406.00;865
149863140736883.00;871
149895462471799.00;858
149927783788561.00;853
149960104686923.00;833
149992425166638.00;842
150024745227459.00;842
15005706486914.00;832
150089384091434.00;833
150121702894095.00;846
150154021276876.00;825
150186339239529.00;834
15021865678181.00;812
15025097390347.00;821
150283290604265.00;816
150315606883946.00;813
150347922742267.00;802
150380238178983.00;802
150412553193846.00;799
15044486778661.00;791
150477181957028.00;792
150509495704854.00;778
150541809029841.00;771
150574121931743.00;771
150606434410313.00;768
150638746465306.00;778
150671058096473.00;771
15070336930357.00;748
150735680086349.00;747
150767990444565.00;747
15080030037797.00;735
150832609886318.00;745
150864918969363.00;747
150897227626859.00;719
150929535858558.00;715
150961843664216.00;725
150994151043584.00;698
151026457996418.00;707
15105876452247.00;706
151091070621494.00;692
151123376293244.00;698
151155681537474.00;680
151187986353937.00;691
151220290742387.00;659
151252594702578.00;670
151284898234263.00;661
151317201337197.00;660
151349504011132.00;666
151381806255822.00;659
151414108071022.00;644
151446409456485.00;636
151478710411965.00;627
151511010937215.00;638
15154331103199.00;634
151575610696043.00;610
151607909929128.00;612
151640208730999.00;588
151672507101409.00;596
151704805040113.00;590
151737102546864.00;587
151769399621416.00;577
151801696263524.00;593
15183399247294.00;575
151866288249418.00;571
151898583592714.00;569
15193087850258.00;547
15196317297877.00;547
151995467021039.00;538
15202776062914.00;549
152060053802828.00;538
152092346541855.00;530
152124638845977.00;517
152156930714947.00;513
152189222148518.00;510
152221513146446.00;510
152253803708484.00;501
152286093834385.00;501
152318383523905.00;496
152350672776797.00;501
152382961592815.00;477
152415249971713.00;477
152447537913245.00;461
152479825417165.00;466
152512112483228.00;475
152544399111187.00;445
152576685300796.00;471
15260897105181.00;443
152641256363983.00;435
152673541237068.00;427
15270582567082.00;440
152738109664994.00;405
152770393219342.00;422
15280267633362.00;409
152834959007581.00;423
15286724124098.00;410
15289952303357.00;407
152931804385107.00;387
152964085295344.00;388
152996365764035.00;393
153028645790935.00;388
153060925375798.00;370
153093204518378.00;373
153125483218429.00;360
153157761475706.00;373
153190039289963.00;365
153222316660954.00;368
153254593588434.00;347
153286870072156.00;372
153319146111875.00;329
153351421707346.00;346
153383696858322.00;335
153415971564559.00;330
15344824582581.00;331
15348051964183.00;331
153512793012372.00;320
153545065937193.00;300
153577338416045.00;296
153609610448683.00;321
153641882034862.00;294
153674153174337.00;302
15370642386686.00;286
153738694112188.00;274
153770963910074.00;290
153803233260273.00;270
15383550216254.00;277
153867770616628.00;294
153900038622292.00;274
153932306179288.00;272
153964573287368.00;259
153996839946289.00;267
154029106155803.00;260
154061371915667.00;248
154093637225634.00;247
154125902085459.00;261
154158166494896.00;242
154190430453701.00;260
154222693961627.00;248
15425495701843.00;230
154287219623864.00;236
154319481777683.00;252
154351743479642.00;228
154384004729496.00;219
154416265526999.00;220
154448525871907.00;220
154480785763973.00;219
154513045202953.00;212
1545453041886.00;213
154577562720671.00;220
154609820798919.00;222
154642078423099.00;206
154674335592967.00;200
154706592308276.00;207
154738848568781.00;196
154771104374238.00;192
1548033597244.00;191
154835614619024.00;206
154867869057862.00;191
154900123040672.00;188
154932376567206.00;183
15496462963722.00;175
154996882250469.00;166
155029134406708.00;160
155061386105691.00;172
155093637347173.00;176
15512588813091.00;170
155158138456656.00;167
155190388324165.00;176
155222637733194.00;159
155254886683496.00;155
155287135174828.00;174
155319383206942.00;163
155351630779596.00;164
155383877892542.00;163
155416124545538.00;147
155448370738337.00;153
155480616470694.00;146
155512861742365.00;140
155545106553104.00;146
155577350902666.00;151
155609594790807.00;135
155641838217282.00;144
155674081181845.00;145
155706323684252.00;145
155738565724258.00;143
155770807301617.00;136
155803048416085.00;125
155835289067418.00;138
155867529255369.00;128
155899768979694.00;120
155932008240149.00;118
155964247036488.00;124
155996485368467.00;114
156028723235841.00;108
156060960638365.00;125
156093197575793.00;130
156125434047882.00;123
156157670054387.00;117
156189905595062.00;109
156222140669664.00;119
156254375277946.00;104
156286609419665.00;118
156318843094576.00;117
156351076302434.00;114
156383309042993.00;102
156415541316011.00;109
156447773121241.00;107
15648000445844.00;116
156512235327362.00;90
156544465727763.00;98
156576695659398.00;105
156608925122022.00;106
156641154115392.00;89
156673382639261.00;88
156705610693386.00;99
156737838277523.00;91
156770065391425.00;89
15680229203485.00;89
156834518207552.00;93
156866743909286.00;97
156898969139809.00;85
156931193898876.00;81
156963418186241.00;89
156995642001661.00;87
157027865344892.00;70
157060088215687.00;85
157092310613804.00;69
157124532538998.00;91
157156753991023.00;71
157188974969637.00;72
157221195474594.00;71
157253415505649.00;88
157285635062559.00;69
157317854145079.00;63
157350072752965.00;76
157382290885972.00;91
157414508543855.00;54
157446725726372.00;79
157478942433276.00;71
157511158664324.00;68
157543374419272.00;72
157575589697875.00;71
157607804499888.00;68
157640018825068.00;74
157672232673171.00;74
157704446043951.00;55
157736658937165.00;72
157768871352569.00;65
157801083289918.00;58
157833294748967.00;62
157865505729474.00;70
157897716231193.00;66
157929926253881.00;54
157962135797292.00;54
157994344861184.00;70
158026553445311.00;72
15805876154943.00;74
158090969173297.00;73
158123176316667.00;60
158155382979296.00;63
15818758916094.00;67
158219794861356.00;56
158252000080298.00;58
158284204817524.00;51
158316409072788.00;57
158348612845847.00;61
158380816136457.00;60
158413018944373.00;52
158445221269352.00;37
15847742311115.00;51
158509624469522.00;49
158541825344225.00;41
158574025735015.00;56
158606225641648.00;62
158638425063879.00;43
158670624001466.00;48
158702822454163.00;43
158735020421727.00;32
158767217903914.00;42
158799414900481.00;49
158831611411183.00;48
158863807435776.00;33
158896002974017.00;38
158928198025662.00;45
158960392590466.00;44
158992586668187.00;29
15902478025858.00;42
159056973361401.00;37
159089165976407.00;25
159121358103354.00;49
159153549741998.00;28
159185740892095.00;16
159217931553402.00;18
159250121725675.00;42
15928231140867.00;21
159314500602143.00;20
159346689305851.00;33
159378877519551.00;41
159411065242997.00;24
159443252475947.00;22
159475439218157.00;7
159507625469384.00;1
159539811229383.00;11
159571996497912.00;21
159604181274726.00;32
159636365559582.00;16
159668549352236.00;32
159700732652445.00;23
159732915459966.00;18
159765097774554.00;16
159797279595966.00;17
159829460923959.00;13
159861641758288.00;7
159893822098712.00;41
159926001944985.00;2
159958181296865.00;-3
159990360154108.00;7
160022538516471.00;0
