nm,Ga,In
252.963,11.5821,88.4179
253.486,9.93385,90.0661
254.009,13.5327,86.4673
254.531,8.89227,91.1077
255.054,15.3074,84.6926
255.577,12.727,87.273
256.099,2.83699,97.163
256.622,4.55294,95.4471
257.145,15.9265,84.0735
257.667,20.86,79.14
258.19,18.3757,81.6243
258.712,21.0431,78.9569
259.235,12.7259,87.2741
259.758,10.7031,89.2969
260.28,3.19354,96.8065
260.803,11.0419,88.9581
261.326,11.9679,88.0321
261.848,29.212,70.788
262.371,27.8313,72.1687
262.894,30.4363,69.5637
263.416,32.3852,67.6148
263.939,35.6635,64.3365
264.462,39.3995,60.6005
264.984,44.3233,55.6767
265.507,35.1398,64.8602
266.03,35.6889,64.3111
266.552,25.9295,74.0705
267.075,34.8288,65.1712
267.598,21.8083,78.1917
268.12,11.0985,88.9015
268.643,11.0051,88.9949
269.165,12.3376,87.6624
269.688,11.3719,88.6281
270.211,11.5987,88.4013
270.733,6.18808,93.8119
271.256,17.6308,82.3691
271.779,14.0535,85.9465
272.301,16.2252,83.7748
272.824,21.0276,78.9724
273.347,14.895,85.105
273.869,5.70616,94.2938
274.392,10.6031,89.3969
274.915,10.7893,89.2107
275.437,25.1275,74.8725
275.96,11.4103,88.5897
276.483,15.0488,84.9512
277.005,4.40401,95.596
277.528,4.95317,95.0468
278.051,12.4396,87.5604
278.573,18.0937,81.9063
279.096,3.18338,96.8166
279.619,6.78739,93.2126
280.141,6.33464,93.6654
280.664,7.26904,92.731
281.186,6.88634,93.1137
281.709,13.2969,86.7031
282.232,10.1825,89.8175
282.754,9.56361,90.4364
283.277,2.24683,97.7532
283.8,12.0477,87.9523
284.322,9.6864,90.3136
284.845,0,100
285.368,15.2692,84.7308
285.89,10.6357,89.3643
286.413,7.01881,92.9812
286.936,18.3418,81.6582
287.458,1.63596,98.364
287.981,13.1854,86.8146
288.504,16.3207,83.6793
289.026,4.00106,95.9989
289.549,10.5074,89.4926
290.072,1.60884,98.3912
290.594,15.3198,84.6802
291.117,14.7256,85.2744
291.639,8.64229,91.3577
292.162,5.99962,94.0004
292.685,5.25058,94.7494
293.207,14.9399,85.0601
293.73,5.00709,94.9929
294.253,0.356767,99.6432
