nm,P,As
210.629,90.7459,9.25413
211.151,90.2468,9.75322
211.674,85.7492,14.2508
212.196,76.88,23.12
212.719,82.2253,17.7747
213.242,56.1829,43.8171
213.764,55.8024,44.1976
214.287,43.9021,56.0979
214.81,34.3137,65.6863
215.332,42.668,57.332
215.855,35.3152,64.6848
216.378,45.0435,54.9565
216.9,64.1032,35.8968
217.423,69.7872,30.2128
217.946,72.9904,27.0096
218.468,73.8407,26.1593
218.991,78.0338,21.9662
219.514,80.8148,19.1852
220.036,79.2503,20.7497
220.559,86.3783,13.6217
221.082,85.8753,14.1247
221.604,80.7358,19.2642
222.127,90.5259,9.47409
222.65,75.2219,24.7781
223.172,83.9118,16.0882
223.695,83.3026,16.6974
224.217,84.7529,15.2471
224.74,85.5546,14.4454
225.263,85.0759,14.9241
225.785,79.0663,20.9337
226.308,86.4097,13.5903
226.831,85.1319,14.8681
227.353,87.3484,12.6516
227.876,82.3493,17.6507
228.399,88.2665,11.7335
228.921,83.7937,16.2063
229.444,84.2971,15.7029
229.967,87.4424,12.5576
230.489,85.4902,14.5098
231.012,82.6799,17.3201
231.535,89.4668,10.5332
232.057,87.3655,12.6345
232.58,87.8806,12.1194
233.103,88.2527,11.7473
233.625,84.362,15.638
234.148,94.0568,5.94316
234.67,84.9504,15.0496
235.193,93.1646,6.8354
235.716,88.1959,11.8041
236.238,83.8817,16.1183
236.761,93.3862,6.61381
237.284,90.8289,9.17109
237.806,88.9401,11.0599
238.329,94.2188,5.78121
238.852,88.5509,11.4491
239.374,91.3867,8.6133
239.897,88.783,11.217
240.42,91.4757,8.52432
240.942,94.153,5.84698
241.465,93.0558,6.94418
241.988,90.552,9.448
242.51,92.0888,7.91121
243.033,93.435,6.56498
243.556,90.3671,9.63292
244.078,96.7077,3.29229
244.601,90.7626,9.23743
245.124,93.9214,6.07861
245.646,85.0296,14.9704
246.169,87.0366,12.9634
246.691,96.409,3.59097
247.214,91.5225,8.47748
247.737,90.8837,9.11628
248.259,93.9572,6.04277
248.782,89.5787,10.4213
249.305,93.3944,6.60558
249.827,94.7481,5.25193
250.35,90.312,9.68795
250.873,93.4888,6.51122
251.395,92.7274,7.27264
251.918,89.8066,10.1934
252.441,84.6155,15.3845
252.963,91.5618,8.43817
253.486,87.1076,12.8924
254.009,90.7766,9.22342
254.531,94.3736,5.6264
255.054,91.534,8.46596
255.577,90.8487,9.15129
256.099,89.2389,10.7611
256.622,92.0123,7.98772
257.145,87.837,12.163
257.667,90.7507,9.24927
258.19,82.2761,17.7239
258.712,90.7749,9.2251
259.235,85.6756,14.3244
259.758,83.8438,16.1562
260.28,92.9474,7.05264
260.803,79.9883,20.0117
261.326,78.2276,21.7724
261.848,61.8963,38.1037
262.371,55.073,44.927
262.894,55.8471,44.1529
263.416,38.635,61.365
263.939,39.7849,60.2151
264.462,39.805,60.195
264.984,55.127,44.873
265.507,59.0029,40.9971
266.03,61.4061,38.5939
266.552,69.1765,30.8235
267.075,81.8873,18.1127
267.598,73.7402,26.2598
268.12,84.1481,15.8519
268.643,79.2937,20.7063
269.165,85.0345,14.9655
269.688,78.2516,21.7484
270.211,79.9918,20.0082
270.733,83.6337,16.3663
271.256,86.6156,13.3844
271.779,88.3969,11.6031
272.301,87.2225,12.7775
272.824,85.9661,14.0339
273.347,87.8226,12.1774
273.869,82.8252,17.1748
274.392,78.2248,21.7752
274.915,82.2621,17.7379
275.437,85.4256,14.5744
275.96,90.7211,9.2789
276.483,92.9788,7.02124
277.005,83.0927,16.9073
277.528,86.0123,13.9877
278.051,86.3816,13.6184
278.573,86.3161,13.6839
279.096,89.1217,10.8784
279.619,91.7259,8.27412
280.141,90.5994,9.40061
280.664,95.1025,4.89753
281.186,89.756,10.244
281.709,87.2619,12.7381
282.232,94.2224,5.77763
282.754,97.4169,2.58312
283.277,86.8481,13.1519
283.8,89.6808,10.3192
284.322,87.5314,12.4686
284.845,82.5599,17.4401
285.368,83.6941,16.3059
285.89,90.7578,9.24224
286.413,94.3876,5.61236
286.936,97.0357,2.9643
287.458,88.8142,11.1858
287.981,81.7644,18.2356
288.504,89.7349,10.2651
289.026,91.9461,8.0539
289.549,99.5921,0.407914
290.072,90.8223,9.17768
290.594,89.2272,10.7728
291.117,90.7553,9.24471
291.639,88.0913,11.9087
292.162,91.8178,8.18222
292.685,93.5923,6.40772
293.207,91.0655,8.93454
293.73,88.8608,11.1392
294.253,95.1465,4.8535
