wavelength, intensity
1371.3084753756600, 94
1371.633144301800, 97
1371.9578100216300, 88
1372.2824725326400, 90
1372.6071318323500, 99
1372.9317879182500, 114
1373.2564407878600, 104
1373.5810904386800, 102
1373.9057368682100, 125
1374.2303800739800, 125
1374.5550200534700, 114
1374.879656804200, 104
1375.2042903236800, 114
1375.528920609400, 104
1375.8535476588900, 129
1376.1781714696400, 116
1376.5027920391600, 118
1376.8274093649500, 114
1377.1520234445400, 108
1377.4766342754100, 145
1377.8012418550800, 143
1378.1258461810600, 127
1378.4504472508600, 104
1378.7750450619700, 108
1379.0996396119100, 117
1379.4242308981900, 138
1379.748818918300, 144
1380.0734036697700, 113
1380.3979851500900, 97
1380.7225633567800, 94
1381.0471382873500, 107
1381.3717099392900, 141
1381.6962783101100, 146
1382.0208433973400, 125
1382.3454051984600, 98
1382.66996371100, 67
1382.9945189324600, 111
1383.3190708603400, 115
1383.6436194921600, 133
1383.9681648254200, 134
1384.2927068576200, 158
1384.6172455862900, 135
1384.9417810089300, 129
1385.2663131230400, 134
1385.5908419261300, 129
1385.9153674157200, 149
1386.2398895893100, 153
1386.564408444400, 169
1386.8889239785200, 176
1387.2134361891500, 154
1387.5379450738300, 146
1387.8624506300400, 131
1388.1869528553100, 128
1388.5114517471400, 159
1388.8359473030400, 162
1389.1604395205200, 179
1389.4849283970900, 180
1389.8094139302500, 167
1390.1338961175200, 187
1390.458374956400, 198
1390.782850444400, 187
1391.1073225790400, 182
1391.4317913578300, 187
1391.7562567782600, 167
1392.0807188378600, 151
1392.4051775341200, 133
1392.7296328645700, 167
1393.0540848267100, 190
1393.3785334180500, 197
1393.7029786360900, 188
1394.0274204783600, 195
1394.3518589423500, 186
1394.6762940255800, 165
1395.0007257255700, 147
1395.3251540398100, 155
1395.6495789658200, 165
1395.974000501100, 179
1396.2984186431800, 149
1396.6228333895600, 175
1396.9472447377400, 188
1397.2716526852500, 198
1397.5960572295900, 217
1397.9204583682600, 226
1398.2448560987900, 229
1398.5692504186800, 217
1398.8936413254400, 223
1399.2180288165900, 206
1399.5424128896300, 188
1399.8667935420700, 173
1400.1911707714300, 181
1400.5155445752200, 157
1400.8399149509400, 183
1401.1642818961200, 182
1401.4886454082500, 198
1401.8130054848500, 226
1402.1373621234400, 243
1402.4617153215200, 257
1402.786065076600, 270
1403.110411386200, 254
1403.4347542478200, 255
1403.7590936589900, 263
1404.0834296172100, 232
1404.4077621199800, 210
1404.7320911648400, 197
1405.0564167492700, 192
1405.3807388708100, 240
1405.7050575269500, 255
1406.0293727152200, 268
1406.3536844331200, 255
1406.6779926781600, 247
1407.0022974478700, 226
1407.3265987397400, 231
1407.6508965512900, 246
1407.9751908800400, 272
1408.299481723500, 283
1408.6237690791700, 280
1408.9480529445700, 251
1409.2723333172200, 229
1409.5966101946300, 231
1409.9208835743100, 262
1410.2451534537600, 291
1410.5694198305200, 294
1410.8936827020800, 305
1411.2179420659600, 306
1411.5421979196700, 322
1411.8664502607300, 309
1412.1906990866600, 309
1412.5149443949500, 323
1412.8391861831300, 318
1413.1634244487100, 322
1413.487659189200, 302
1413.8118904021200, 294
1414.1361180849800, 282
1414.460342235300, 273
1414.7845628505700, 299
1415.1087799283300, 321
1415.4329934660900, 317
1415.7572034613500, 346
1416.0814099116400, 340
1416.4056128144600, 362
1416.7298121673300, 361
1417.0540079677600, 349
1417.3782002132800, 328
1417.7023889013800, 341
1418.0265740295900, 350
1418.3507555954300, 366
1418.6749335963900, 340
1418.9991080300100, 329
1419.3232788937900, 333
1419.6474461852600, 339
1419.9716099019100, 350
1420.2957700412700, 368
1420.6199266008600, 373
1420.9440795781800, 387
1421.2682289707600, 379
1421.592374776100, 406
1421.9165169917300, 400
1422.2406556151500, 402
1422.5647906438900, 394
1422.8889220754500, 396
1423.2130499073600, 379
1423.5371741371300, 387
1423.8612947622700, 370
1424.185411780300, 392
1424.5095251887300, 405
1424.8336349850900, 417
1425.1577411668800, 417
1425.4818437316300, 418
1425.8059426768400, 410
1426.1300380000400, 431
1426.4541296987300, 426
1426.7782177704500, 446
1427.1023022126900, 434
1427.4263830229900, 433
1427.7504601988400, 429
1428.0745337377800, 424
1428.3986036373200, 451
1428.7226698949600, 424
1429.0467325082400, 447
1429.3707914746700, 454
1429.6948467917500, 454
1430.0188984570200, 464
1430.3429464679900, 472
1430.6669908221600, 466
1430.9910315170700, 456
1431.3150685502300, 466
1431.6391019191400, 461
1431.9631316213400, 463
1432.2871576543400, 457
1432.6111800156600, 465
1432.935198702800, 493
1433.259213713300, 508
1433.5832250446700, 516
1433.9072326944200, 503
1434.2312366600700, 481
1434.5552369391400, 502
1434.8792335291600, 520
1435.2032264276200, 525
1435.5272156320700, 520
1435.8512011400, 522
1436.1751829489400, 531
1436.4991610564100, 526
1436.8231354599300, 531
1437.1471061570100, 547
1437.4710731451800, 512
1437.7950364219400, 498
1438.1189959848200, 530
1438.4429518313500, 554
1438.7669039590200, 574
1439.0908523653800, 556
1439.4147970479200, 550
1439.7387380041800, 567
1440.0626752316700, 571
1440.3866087279100, 589
1440.7105384904200, 584
1441.0344645167100, 577
1441.3583868043100, 558
1441.6823053507400, 570
1442.0062201535200, 592
1442.3301312101600, 609
1442.6540385181800, 614
1442.9779420751100, 609
1443.3018418784600, 615
1443.6257379257600, 626
1443.9496302145100, 616
1444.2735187422500, 633
1444.5974035064900, 620
1444.9212845047600, 630
1445.2451617345600, 618
1445.5690351934300, 565
1445.8929048788800, 596
1446.2167707884300, 639
1446.5406329196100, 669
1446.8644912699200, 666
1447.188345836900, 672
1447.5121966180700, 677
1447.8360436109400, 672
1448.1598868130300, 675
1448.4837262218700, 673
1448.8075618349800, 681
1449.1313936498700, 696
1449.4552216640800, 709
1449.7790458751100, 692
1450.1028662804900, 685
1450.4266828777400, 670
1450.7504956643900, 679
1451.0743046379500, 668
1451.3981097959400, 706
1451.721911135900, 704
1452.0457086553300, 725
1452.3695023517600, 729
1452.6932922227100, 728
1453.017078265700, 726
1453.3408604782600, 738
1453.6646388579100, 746
1453.9884134021700, 750
1454.3121841085500, 756
1454.6359509745900, 754
1454.9597139978100, 767
1455.2834731757200, 756
1455.6072285058500, 760
1455.9309799857200, 787
1456.2547276128600, 770
1456.5784713847900, 786
1456.9022112990200, 775
1457.2259473530900, 791
1457.5496795445200, 800
1457.8734078708200, 808
1458.1971323295200, 815
1458.5208529181500, 811
1458.8445696342200, 811
1459.1682824752700, 819
1459.491991438800, 811
1459.8156965223600, 822
1460.1393977234500, 818
1460.4630950396100, 793
1460.7867884683600, 830
1461.1104780072200, 822
1461.4341636537100, 838
1461.7578454053600, 846
1462.0815232596900, 846
1462.4051972142300, 865
1462.728867266500, 854
1463.0525334140200, 841
1463.3761956543200, 838
1463.6998539849300, 866
1464.0235084033600, 877
1464.3471589071400, 875
1464.670805493800, 865
1464.9944481608600, 861
1465.3180869058400, 851
1465.6417217262700, 859
1465.9653526196800, 863
1466.2889795835900, 874
1466.6126026155200, 865
1466.93622171300, 890
1467.2598368735500, 881
1467.5834480947100, 895
1467.9070553739900, 887
1468.2306587089200, 914
1468.5542580970200, 922
1468.8778535358300, 908
1469.2014450228600, 897
1469.5250325556500, 869
1469.8486161317100, 891
1470.1721957485800, 893
1470.4957714037700, 894
1470.8193430948200, 875
1471.1429108192600, 893
1471.466474574600, 910
1471.7900343583700, 928
1472.1135901681100, 902
1472.4371420013300, 901
1472.7606898555700, 915
1473.0842337283400, 938
1473.4077736171800, 943
1473.7313095196200, 934
1474.0548414331700, 931
1474.3783693553700, 932
1474.7018932837500, 935
1475.0254132158200, 939
1475.3489291491200, 966
