nm, P, As
26.2371, 49.1314, 50.8686
26.3416, 44.8587, 55.1413
26.4462, 53.2715, 46.7285
26.5507, 55.2866, 44.7134
26.6552, 49.5835, 50.4165
26.7598, 40.0692, 59.9308
26.8643, 49.9013, 50.0987
26.9688, 57.1832, 42.8168
27.0733, 51.9044, 48.0956
27.1779, 55.5816, 44.4184
27.2824, 68.5595, 31.4405
27.3869, 56.8793, 43.1207
27.4915, 58.1005, 41.8995
27.596, 59.7374, 40.2626
27.7005, 47.9948, 52.0052
27.8051, 68.0036, 31.9964
27.9096, 37.2053, 62.7947
28.0141, 62.793, 37.207
28.1186, 47.5816, 52.4184
28.2232, 66.1534, 33.8466
28.3277, 59.0499, 40.9501
28.4322, 54.1408, 45.8592
28.5368, 60.9061, 39.0939
28.6413, 56.9931, 43.0069
28.7458, 57.4436, 42.5564
28.8504, 67.4673, 32.5327
28.9549, 72.9136, 27.0864
29.0594, 52.743, 47.257
29.1639, 52.6293, 47.3707
29.2685, 51.3996, 48.6004
29.373, 65.4717, 34.5283
29.4775, 60.4471, 39.5529
29.5821, 65.6363, 34.3637
29.6866, 55.1608, 44.8392
29.7911, 58.3907, 41.6093
29.8957, 51.2032, 48.7968
30.0002, 60.5769, 39.4231
30.1047, 67.156, 32.844
30.2092, 60.9567, 39.0433
30.3138, 61.7962, 38.2038
30.4183, 67.6084, 32.3916
30.5228, 55.9256, 44.0744
30.6274, 66.4011, 33.5989
30.7319, 63.533, 36.467
30.8364, 54.3057, 45.6943
30.941, 61.4586, 38.5414
31.0455, 63.6036, 36.3964
31.15, 63.9203, 36.0797
31.2546, 64.4617, 35.5383
31.3591, 48.021, 51.979
31.4636, 44.3761, 55.6239
31.5681, 57.64, 42.36
31.6727, 71.7402, 28.2598
31.7772, 55.788, 44.212
31.8817, 57.9882, 42.0118
31.9863, 54.4786, 45.5214
32.0908, 47.6214, 52.3786
32.1953, 61.0348, 38.9652
32.2999, 62.2467, 37.7533
32.4044, 59.9057, 40.0943
32.5089, 57.7163, 42.2837
